time,latitude,chl
2024-03-02,48.25,0.278427
2024-03-02,48.5,0.27691
2024-03-02,48.75,0.267926
2024-03-02,49.0,0.277051
2024-03-02,49.25,0.282259
2024-03-02,49.5,0.284515
2024-03-02,49.75,0.276628
2024-03-02,50.0,0.2778
2024-03-02,50.25,0.279317
2024-03-02,50.5,0.275782
2024-03-02,50.75,0.269888
2024-03-02,51.0,0.262119
2024-03-02,51.25,0.254397
2024-03-02,51.5,0.253016
2024-03-02,51.75,0.260243
2024-03-02,52.0,0.265191
2024-03-02,52.25,0.274155
2024-03-02,52.5,0.260955
2024-03-02,52.75,0.255118
2024-03-02,53.0,0.257385
2024-03-02,53.25,0.255874
2024-03-02,53.5,0.257124
2024-03-02,53.75,0.237811
2024-03-02,54.0,0.219151
2024-03-02,54.25,0.202551
2024-03-02,54.5,0.195025
2024-03-02,54.75,0.187394
2024-03-02,55.0,0.180563
2024-03-02,55.25,0.174904
2024-03-02,55.5,0.165149
2024-03-02,55.75,0.163447
2024-03-02,56.0,0.160905
2024-03-02,56.25,0.161421
2024-03-02,56.5,0.161165
2024-03-02,56.75,0.158604
2024-03-02,57.0,0.160617
2024-03-02,57.25,0.153487
2024-03-02,57.5,0.148667
2024-03-02,57.75,0.143176
2024-03-02,58.0,0.127469
2024-03-02,58.25,0.123628
2024-03-02,58.5,0.123492
2024-03-02,58.75,0.126446
2024-03-02,59.0,0.130678
2024-03-02,59.25,0.145597
2024-03-02,59.5,0.151865
2024-03-02,59.75,0.161142
2024-03-02,60.0,0.17073
2024-03-02,60.25,0.17496
2024-03-02,60.5,0.17615
2024-03-02,60.75,0.189798
2024-03-02,61.0,0.191443
2024-03-02,61.25,0.16487
2024-03-02,61.5,0.165996
2024-03-02,61.75,0.177085
2024-03-02,62.0,0.167756
2024-03-02,62.25,0.177735
2024-03-02,62.5,0.179829
2024-03-02,62.75,0.183601
2024-03-02,63.0,0.186921
2024-03-02,63.25,0.211726
2024-03-02,63.5,0.286643
2024-03-02,63.75,0.29485
2024-03-02,64.0,0.273021
2024-03-02,64.25,0.28901
2024-03-02,64.5,0.252701
2024-03-02,64.75,0.273014
2024-03-02,65.0,0.234587
2024-03-03,35.0,0.404783
2024-03-03,35.25,0.374604
2024-03-03,35.5,0.349437
2024-03-03,35.75,0.331542
2024-03-03,36.0,0.314894
2024-03-03,36.25,0.331273
2024-03-03,36.5,0.352115
2024-03-03,36.75,0.358325
2024-03-03,37.0,0.376403
2024-03-03,37.25,0.379325
2024-03-03,37.5,0.376848
2024-03-03,37.75,0.367512
2024-03-03,38.0,0.354279
2024-03-03,38.25,0.349816
2024-03-03,38.5,0.34447
2024-03-03,38.75,0.334994
2024-03-03,39.0,0.329714
2024-03-03,39.25,0.328032
2024-03-03,39.5,0.337339
2024-03-03,39.75,0.354619
2024-03-03,40.0,0.368433
2024-03-03,40.25,0.376613
2024-03-03,40.5,0.385005
2024-03-03,40.75,0.391286
2024-03-03,41.0,0.402298
2024-03-03,41.25,0.417988
2024-03-03,41.5,0.424189
2024-03-03,41.75,0.425677
2024-03-03,42.0,0.437843
2024-03-03,42.25,0.44694
2024-03-03,42.5,0.450539
2024-03-03,42.75,0.45118
2024-03-03,43.0,0.444082
2024-03-03,43.25,0.421007
2024-03-03,43.5,0.409164
2024-03-03,43.75,0.400976
2024-03-03,44.0,0.392664
2024-03-03,44.25,0.400491
2024-03-03,44.5,0.401455
2024-03-03,44.75,0.391688
2024-03-03,45.0,0.369906
2024-03-03,45.25,0.351049
2024-03-03,45.5,0.330466
2024-03-03,45.75,0.324314
2024-03-03,46.0,0.317278
2024-03-03,46.25,0.317852
2024-03-03,46.5,0.31993
2024-03-03,46.75,0.311589
2024-03-03,47.0,0.304866
2024-03-03,47.25,0.309317
2024-03-03,47.5,0.307177
2024-03-03,47.75,0.275117
2024-03-03,48.0,0.268803
2024-03-03,48.25,0.273733
2024-03-03,48.5,0.272331
2024-03-03,48.75,0.263934
2024-03-03,49.0,0.273674
2024-03-03,49.25,0.279833
2024-03-03,49.5,0.282953
2024-03-03,49.75,0.276712
2024-03-03,50.0,0.279798
2024-03-03,50.25,0.280938
2024-03-03,50.5,0.279786
2024-03-03,50.75,0.272169
2024-03-03,51.0,0.266296
2024-03-03,51.25,0.261304
2024-03-03,51.5,0.260489
2024-03-03,51.75,0.269232
2024-03-03,52.0,0.273907
2024-03-03,52.25,0.282673
2024-03-03,52.5,0.271245
2024-03-03,52.75,0.264939
2024-03-03,53.0,0.26595
2024-03-03,53.25,0.265635
2024-03-03,53.5,0.267347
2024-03-03,53.75,0.245624
2024-03-03,54.0,0.224445
2024-03-03,54.25,0.209484
2024-03-03,54.5,0.203093
2024-03-03,54.75,0.194703
2024-03-03,55.0,0.18611
2024-03-03,55.25,0.178404
2024-03-03,55.5,0.16775
2024-03-03,55.75,0.165876
2024-03-03,56.0,0.163059
2024-03-03,56.25,0.161712
2024-03-03,56.5,0.162257
2024-03-03,56.75,0.160292
2024-03-03,57.0,0.162242
2024-03-03,57.25,0.156444
2024-03-03,57.5,0.151046
2024-03-03,57.75,0.145003
2024-03-03,58.0,0.128896
2024-03-03,58.25,0.125806
2024-03-03,58.5,0.126419
2024-03-03,58.75,0.130146
2024-03-03,59.0,0.133101
2024-03-03,59.25,0.14758
2024-03-03,59.5,0.153864
2024-03-03,59.75,0.163757
2024-03-03,60.0,0.171912
2024-03-03,60.25,0.176701
2024-03-03,60.5,0.177801
2024-03-03,60.75,0.191898
2024-03-03,61.0,0.19335
2024-03-03,61.25,0.164722
2024-03-03,61.5,0.16607
2024-03-03,61.75,0.176345
2024-03-03,62.0,0.16608
2024-03-03,62.25,0.177354
2024-03-03,62.5,0.178427
2024-03-03,62.75,0.18186
2024-03-03,63.0,0.183741
2024-03-03,63.25,0.208323
2024-03-03,63.5,0.28393
2024-03-03,63.75,0.294729
2024-03-03,64.0,0.273074
2024-03-03,64.25,0.285278
2024-03-03,64.5,0.252288
2024-03-03,64.75,0.271873
2024-03-03,65.0,0.234464
2024-03-04,35.0,0.40183
2024-03-04,35.25,0.367228
2024-03-04,35.5,0.34453
2024-03-04,35.75,0.332819
2024-03-04,36.0,0.31904
2024-03-04,36.25,0.330649
2024-03-04,36.5,0.347306
2024-03-04,36.75,0.349829
2024-03-04,37.0,0.356041
2024-03-04,37.25,0.359831
2024-03-04,37.5,0.356118
2024-03-04,37.75,0.344678
2024-03-04,38.0,0.334399
2024-03-04,38.25,0.331053
2024-03-04,38.5,0.326109
2024-03-04,38.75,0.321219
2024-03-04,39.0,0.314457
2024-03-04,39.25,0.309873
2024-03-04,39.5,0.320339
2024-03-04,39.75,0.336433
2024-03-04,40.0,0.345378
2024-03-04,40.25,0.349909
2024-03-04,40.5,0.362259
2024-03-04,40.75,0.364709
2024-03-04,41.0,0.372227
2024-03-04,41.25,0.384309
2024-03-04,41.5,0.393291
2024-03-04,41.75,0.395878
2024-03-04,42.0,0.403956
2024-03-04,42.25,0.415909
2024-03-04,42.5,0.423324
2024-03-04,42.75,0.423353
2024-03-04,43.0,0.418639
2024-03-04,43.25,0.401052
2024-03-04,43.5,0.390757
2024-03-04,43.75,0.383673
2024-03-04,44.0,0.374819
2024-03-04,44.25,0.37932
2024-03-04,44.5,0.380978
2024-03-04,44.75,0.369372
2024-03-04,45.0,0.351299
2024-03-04,45.25,0.333519
2024-03-04,45.5,0.315089
2024-03-04,45.75,0.308807
2024-03-04,46.0,0.302873
2024-03-04,46.25,0.302882
2024-03-04,46.5,0.303675
2024-03-04,46.75,0.295892
2024-03-04,47.0,0.289432
2024-03-04,47.25,0.297621
2024-03-04,47.5,0.296957
2024-03-04,47.75,0.260912
2024-03-04,48.0,0.255309
2024-03-04,48.25,0.262856
2024-03-04,48.5,0.262634
2024-03-04,48.75,0.256815
2024-03-04,49.0,0.265238
2024-03-04,49.25,0.271838
2024-03-04,49.5,0.277205
2024-03-04,49.75,0.273614
2024-03-04,50.0,0.278882
2024-03-04,50.25,0.2791
2024-03-04,50.5,0.278754
2024-03-04,50.75,0.269421
2024-03-04,51.0,0.265397
2024-03-04,51.25,0.263052
2024-03-04,51.5,0.261645
2024-03-04,51.75,0.271298
2024-03-04,52.0,0.275024
2024-03-04,52.25,0.282694
2024-03-04,52.5,0.27242
2024-03-04,52.75,0.265537
2024-03-04,53.0,0.266071
2024-03-04,53.25,0.268186
2024-03-04,53.5,0.269165
2024-03-04,53.75,0.246787
2024-03-04,54.0,0.22714
2024-03-04,54.25,0.213027
2024-03-04,54.5,0.205265
2024-03-04,54.75,0.196073
2024-03-04,55.0,0.187062
2024-03-04,55.25,0.176722
2024-03-04,55.5,0.167865
2024-03-04,55.75,0.164844
2024-03-04,56.0,0.161584
2024-03-04,56.25,0.159028
2024-03-04,56.5,0.159468
2024-03-04,56.75,0.158652
2024-03-04,57.0,0.159734
2024-03-04,57.25,0.156411
2024-03-04,57.5,0.152006
2024-03-04,57.75,0.145725
2024-03-04,58.0,0.129407
2024-03-04,58.25,0.126838
2024-03-04,58.5,0.128036
2024-03-04,58.75,0.132985
2024-03-04,59.0,0.135964
2024-03-04,59.25,0.149369
2024-03-04,59.5,0.156499
2024-03-04,59.75,0.168435
2024-03-04,60.0,0.176758
2024-03-04,60.25,0.17874
2024-03-04,60.5,0.180251
2024-03-04,60.75,0.193211
2024-03-04,61.0,0.194366
2024-03-04,61.25,0.164461
2024-03-04,61.5,0.168812
2024-03-04,61.75,0.175859
2024-03-04,62.0,0.166078
2024-03-04,62.25,0.179627
2024-03-04,62.5,0.177911
2024-03-04,62.75,0.180926
2024-03-04,63.0,0.181499
2024-03-04,63.25,0.204338
2024-03-04,63.5,0.27806
2024-03-04,63.75,0.293234
2024-03-04,64.0,0.271716
2024-03-04,64.25,0.280819
2024-03-04,64.5,0.252155
2024-03-04,64.75,0.270853
2024-03-04,65.0,0.237245
2024-03-05,35.0,0.446486
2024-03-05,35.25,0.402182
2024-03-05,35.5,0.381307
2024-03-05,35.75,0.375941
2024-03-05,36.0,0.362135
2024-03-05,36.25,0.367888
2024-03-05,36.5,0.376729
2024-03-05,36.75,0.370076
2024-03-05,37.0,0.362029
2024-03-05,37.25,0.36114
2024-03-05,37.5,0.356683
2024-03-05,37.75,0.343931
2024-03-05,38.0,0.334531
2024-03-05,38.25,0.333872
2024-03-05,38.5,0.33095
2024-03-05,38.75,0.324379
2024-03-05,39.0,0.317133
2024-03-05,39.25,0.311847
2024-03-05,39.5,0.32214
2024-03-05,39.75,0.336335
2024-03-05,40.0,0.34391
2024-03-05,40.25,0.345613
2024-03-05,40.5,0.354929
2024-03-05,40.75,0.352221
2024-03-05,41.0,0.357337
2024-03-05,41.25,0.368334
2024-03-05,41.5,0.376858
2024-03-05,41.75,0.38043
2024-03-05,42.0,0.383203
2024-03-05,42.25,0.394145
2024-03-05,42.5,0.401523
2024-03-05,42.75,0.40105
2024-03-05,43.0,0.397539
2024-03-05,43.25,0.383021
2024-03-05,43.5,0.374909
2024-03-05,43.75,0.370204
2024-03-05,44.0,0.360977
2024-03-05,44.25,0.3608
2024-03-05,44.5,0.361335
2024-03-05,44.75,0.350126
2024-03-05,45.0,0.338717
2024-03-05,45.25,0.323236
2024-03-05,45.5,0.306944
2024-03-05,45.75,0.298736
2024-03-05,46.0,0.293708
2024-03-05,46.25,0.293386
2024-03-05,46.5,0.294462
2024-03-05,46.75,0.287602
2024-03-05,47.0,0.280912
2024-03-05,47.25,0.292238
2024-03-05,47.5,0.291388
2024-03-05,47.75,0.248273
2024-03-05,48.0,0.243828
2024-03-05,48.25,0.25449
2024-03-05,48.5,0.255731
2024-03-05,48.75,0.252144
2024-03-05,49.0,0.259196
2024-03-05,49.25,0.266303
2024-03-05,49.5,0.274081
2024-03-05,49.75,0.270787
2024-03-05,50.0,0.278179
2024-03-05,50.25,0.278302
2024-03-05,50.5,0.27655
2024-03-05,50.75,0.265923
2024-03-05,51.0,0.263508
2024-03-05,51.25,0.262807
2024-03-05,51.5,0.261172
2024-03-05,51.75,0.270256
2024-03-05,52.0,0.273104
2024-03-05,52.25,0.280849
2024-03-05,52.5,0.269291
2024-03-05,52.75,0.262056
2024-03-05,53.0,0.264273
2024-03-05,53.25,0.268888
2024-03-05,53.5,0.267873
2024-03-05,53.75,0.247274
2024-03-05,54.0,0.229574
2024-03-05,54.25,0.217079
2024-03-05,54.5,0.207314
2024-03-05,54.75,0.198278
2024-03-05,55.0,0.188171
2024-03-05,55.25,0.176058
2024-03-05,55.5,0.168796
2024-03-05,55.75,0.164877
2024-03-05,56.0,0.161241
2024-03-05,56.25,0.157434
2024-03-05,56.5,0.157332
2024-03-05,56.75,0.156474
2024-03-05,57.0,0.157112
2024-03-05,57.25,0.155902
2024-03-05,57.5,0.152592
2024-03-05,57.75,0.147008
